Client_ID,Revenu_Mensuel,Depenses_Mensuelles
1,1374.507122951685,1086.1735698828816
2,1397.1532807151038,1252.3029856408025
3,1264.8769937914997,1076.586304305082
4,1536.8819223261087,1176.7434729152908
5,1229.5788421097573,1154.2560043585966
6,1230.4873460781307,1053.4270246429744
7,1336.294340734905,908.6719755342202
8,1041.262325123045,1043.7712470759027
9,1148.0753319498365,1131.4247332595273
10,1163.7963886718185,958.7696298664708
11,1519.847315338233,1077.4223699513464
12,1310.1292307031886,957.5251813786543
13,1218.3425913212227,1111.0922589709867
14,1127.3509633866545,1137.5698018345672
15,1209.9041965121792,1070.8306250206724
16,1209.7440081655905,1285.2278184508937
17,1297.9754162893098,994.2289071044099
18,1423.3817368154782,977.9156350028977
19,1331.3295392507134,904.0329876120225
20,1100.7720926652355,1119.6861235869123
21,1410.7699869993116,1117.136828118997
22,1282.6527576417639,1069.8896304410712
23,1078.2217014448859,1028.0155791605291
24,1230.904184356032,1205.7122226218917
25,1351.5427434352691,923.6959844637266
26,1348.6125954092192,1061.4917719583684
27,1198.4616999541063,1161.1676288840868
28,1454.6499283743926,1193.1280119116198
29,1174.1173715166042,1069.0787624148786
30,1349.6895147105347,1197.554512712236
31,1228.1238643232066,1081.4341023336183
32,1134.0497538990958,980.3793375919329
33,1421.8788733591298,1235.6240028570824
34,1289.19848176295,1200.3532897892023
35,1354.2454037571451,1035.4880245394875
36,1354.2093408262622,1253.803656646597
37,1294.6260941335072,1256.4643655814007
38,907.0382343865383,1182.1902504375223
39,1313.0570602357257,1070.0992649534132
40,1313.7641164803254,901.2431085399107
41,1267.0492168243732,1135.7112571511746
42,1521.6841067112273,1048.1729781726353
43,1178.7259595660219,1049.8242956415463
44,1437.310317655311,1132.8751109659684
45,1220.5359694349443,1151.3267433113356
46,1314.561632402206,1196.864499053289
47,1194.692035918397,1067.2337853402232
48,1241.1837770301763,953.6485051867882
49,1344.4180415596863,1126.105527217989
50,1300.7670184963692,1076.5412866624854
51,1087.6943886924378,1057.9354677234642
52,1248.5928225209846,1019.7722730778381
53,1275.8071432500985,1140.4050856814538
54,1582.9278851815795,1117.457781283184
55,1338.6325586084147,1092.5554084233834
56,1012.1843177051437,1097.3486124550784
57,1309.034531491154,1346.3242112485286
58,1271.1458552828317,1130.1547342333613
59,1294.7932345442134,983.1321962380468
60,1471.423422177253,1175.1933032686775
61,1418.6547920564572,1009.0612545205261
62,1510.419146640415,959.8148937207719
63,1388.0285640700406,1319.0455625809977
64,1151.4195512303968,1043.3702270397227
65,1314.9477047631462,1049.6524345883802
66,1067.4004853400802,1106.8562974806027
67,1140.6544429410842,1147.359243063518
68,1162.0863648649295,1254.9934405017539
69,1182.5120061495645,1067.7938483794323
70,1422.0275826054506,976.9135683566045
71,1334.1189901906193,1230.714275428243
72,1058.8775148158159,1118.4633858532304
73,1338.9824191372636,1178.182287177731
74,1114.4573933682877,967.9543386915724
75,1378.2912348425345,1129.6984673233187
76,1837.5739275518815,1541.573785139637
77,1697.9962917632263,1527.8704436593205
78,1843.9608709948022,1414.277829836836
